COD_PRODUTO	DESCRICAO	REFERENCIA	NOME_FORNECEDOR_REGULAR	EAN_PRODUTO_UNITARIO
442160	JOGO MEM HIGH SCHOOL	1314	TOYSTER BRINQUEDOS LTDA	7896054013140
442240	JOGO PINBALL POWER RANG	1319	TOYSTER BRINQUEDOS LTDA	7896054013195
442500	JOGO BACKYARDIG CADE VC	1322	TOYSTER BRINQUEDOS LTDA	7896054013225
442275	JOGO DESCOBRINDO SEQUENC	1332	TOYSTER BRINQUEDOS LTDA	7896054013324
442399	JOGO BEN 10 DOMINO	1389	TOYSTER BRINQUEDOS LTDA	7896054013898
442380	JOGO BEN 10 VIRA E MEXE	1394	TOYSTER BRINQUEDOS LTDA	7896054013942
442631	JOGO TINKER BELL	1396	TOYSTER BRINQUEDOS LTDA	7896054013966
442542	JOGO CARROS VIRA E MEXE	1408	TOYSTER BRINQUEDOS LTDA	7896054014086
442879	JOGO STOP ELETRONICO	1409	TOYSTER BRINQUEDOS LTDA	7896054014093
5056438	PL-JOGO VIRA E MEXE HARRY POTTER VI	1426	TOYSTER BRINQUEDOS LTDA	7896054014260
75949	JOGO BUCKAROO	48380	HASBRO DO BRASIL IND E COM DE BRINQ	7896054014345
75973	JOGO HIPOPOTAMOS COMILOES	5297	HASBRO DO BRASIL IND E COM DE BRINQ	7896054014352
75965	JOGO PAPAGOLFE	5296	HASBRO DO BRASIL IND E COM DE BRINQ	7896054014406
442852	JOGO BEN 10 OMNITRIX	1444	TOYSTER BRINQUEDOS LTDA	7896054014444
442887	JOGO MADAGASCAR VIRA MEX	1445	TOYSTER BRINQUEDOS LTDA	7896054014451
5022582	FL-PBK BRINCANDO DE CINEMA	1485	TOYSTER BRINQUEDOS LTDA	7896054014857
440116	JOGO BEN 10 AFORCE STD	1596	TOYSTER BRINQUEDOS LTDA	7896054015960
5019341	FL-PBK DIS-FADAS VIRA E MEXE	1601	TOYSTER BRINQUEDOS LTDA	7896054016011
5019342	FL-PBK A FAZENDA - BIRUTA	1610	TOYSTER BRINQUEDOS LTDA	7896054016103
443484	JOGO TOY STORY 3 SABE TD	1637	TOYSTER BRINQUEDOS LTDA	7896054016370
443476	JOGO TOY STORY 3 FUGA	1639	TOYSTER BRINQUEDOS LTDA	7896054016394
445002	JOGO O CAMISA 10 COPA	1644	TOYSTER BRINQUEDOS LTDA	7896054016448
443417	JOGO BAKUGAN TORNEIO	1645	TOYSTER BRINQUEDOS LTDA	7896054016455
5022299	FL-PBK IDOLOS	1647	TOYSTER BRINQUEDOS LTDA	7896054016479
